system:index,LST,NDVI,.geo
0,52.435167260000014,0.13616152363504513,"{""type"":""Point"",""coordinates"":[74.21881269919461,18.199853858789204]}"
1,43.66110992000006,0.25868198958520383,"{""type"":""Point"",""coordinates"":[74.63705310556598,18.07284380472433]}"
2,52.28135636000002,0.1030600162037518,"{""type"":""Point"",""coordinates"":[73.77648200162547,18.0548800095678]}"
3,50.75862845000006,0.1311441200462884,"{""type"":""Point"",""coordinates"":[73.9656780264333,18.212522286803225]}"
4,43.75510546999999,0.18304388836486712,"{""type"":""Point"",""coordinates"":[74.08364426204336,19.079166751092636]}"
5,51.24569630000002,0.11699850571463188,"{""type"":""Point"",""coordinates"":[74.83213283535551,18.01307092506214]}"
6,50.31428585000003,0.11057173678532901,"{""type"":""Point"",""coordinates"":[74.13982968596201,18.685635152592347]}"
7,43.80808478000006,0.1956900649659325,"{""type"":""Point"",""coordinates"":[74.15259392832394,18.936249557561865]}"
8,34.97933912000002,0.16414294367050272,"{""type"":""Point"",""coordinates"":[73.70706058990923,18.401619578901617]}"
9,56.08732163000002,0.06513267075649369,"{""type"":""Point"",""coordinates"":[74.35639249284291,18.349066570650653]}"
10,54.42103688000003,0.0896608030876568,"{""type"":""Point"",""coordinates"":[74.22731914813826,18.207431032340235]}"
11,42.94845275,0.3349344978165939,"{""type"":""Point"",""coordinates"":[74.24109449842292,18.576108450877275]}"
12,46.39210790000004,0.18246657618896364,"{""type"":""Point"",""coordinates"":[74.70436942100089,18.244720259480427]}"
13,54.80043710000001,0.10054323626324695,"{""type"":""Point"",""coordinates"":[74.54517645167644,18.396516287897676]}"
14,48.730033580000054,0.17132395451917518,"{""type"":""Point"",""coordinates"":[75.02915642029315,17.911603908837964]}"
15,53.10851720000005,0.12191775876385429,"{""type"":""Point"",""coordinates"":[74.03827918911519,18.215793327126946]}"
16,46.988552389999995,0.1558862669390662,"{""type"":""Point"",""coordinates"":[73.82630103499044,18.327061724368093]}"
17,45.10693237999999,0.19255977444985536,"{""type"":""Point"",""coordinates"":[74.21653829629312,18.980153925277563]}"
18,47.248321910000016,0.13810322482274912,"{""type"":""Point"",""coordinates"":[73.97462115778666,19.145019869454618]}"
19,54.22108271000002,0.1067348648215145,"{""type"":""Point"",""coordinates"":[74.27190433923558,19.168010216145923]}"
20,45.21972704000001,0.12985031545090925,"{""type"":""Point"",""coordinates"":[74.47883117095805,18.1240645302579]}"
21,53.76477704000001,0.10974765348515156,"{""type"":""Point"",""coordinates"":[74.0174929518016,19.041648630838253]}"
22,52.072857139999996,0.08310665421623158,"{""type"":""Point"",""coordinates"":[74.04226542411587,18.79603682741646]}"
23,45.77515529000004,0.0772041827187672,"{""type"":""Point"",""coordinates"":[73.83614790083793,18.445298877281306]}"
24,43.80295775000002,0.1925242736609732,"{""type"":""Point"",""coordinates"":[74.1997002055991,18.966995549634436]}"
25,52.431749240000045,0.08523765996343693,"{""type"":""Point"",""coordinates"":[74.09399543420597,18.433886269372152]}"
26,49.174376180000024,0.09788662001999143,"{""type"":""Point"",""coordinates"":[75.01522977663116,18.122173111648312]}"
27,44.68480691000002,0.2743050847457627,"{""type"":""Point"",""coordinates"":[73.41003717930909,18.576901823289607]}"
28,52.27452032000002,0.10042412479332902,"{""type"":""Point"",""coordinates"":[74.49976374006437,18.23118984230868]}"
29,43.28000069000001,0.2657291437779243,"{""type"":""Point"",""coordinates"":[74.24653058795874,18.640193834782224]}"
30,44.46263561000001,0.2536240862346673,"{""type"":""Point"",""coordinates"":[74.66500544758536,18.34523665365737]}"
31,46.614279200000055,0.09900380211984112,"{""type"":""Point"",""coordinates"":[73.87862383485312,18.482469041781084]}"
32,39.14077846999999,0.3121992963772939,"{""type"":""Point"",""coordinates"":[74.00345831322062,18.99622849176629]}"
33,38.76479627000003,0.13875638481995864,"{""type"":""Point"",""coordinates"":[73.3859826251959,18.520934897684793]}"
34,51.69003889999999,0.09017486662714878,"{""type"":""Point"",""coordinates"":[74.09448471799027,18.42309969049987]}"
35,41.629097030000025,0.2724817315696975,"{""type"":""Point"",""coordinates"":[73.50441773131543,18.55132313753649]}"
36,38.93057024000001,0.23232959804635958,"{""type"":""Point"",""coordinates"":[73.70774805671638,18.121485237763267]}"
37,31.67924081000001,-0.009739405106607002,"{""type"":""Point"",""coordinates"":[73.49099813103801,18.63443631989449]}"
38,36.36192821000003,0.19707489063486192,"{""type"":""Point"",""coordinates"":[73.53966309684044,18.322504923932648]}"
39,45.477787550000016,0.14128640116120839,"{""type"":""Point"",""coordinates"":[73.95161262937633,18.507102305583416]}"
40,49.42730965999999,0.1315946126943969,"{""type"":""Point"",""coordinates"":[73.84356890145719,19.252123997544132]}"
41,55.08413275999999,0.09777827480802206,"{""type"":""Point"",""coordinates"":[74.34538375018285,18.744927898613227]}"
42,40.051680799999986,0.24489638405433567,"{""type"":""Point"",""coordinates"":[73.51791185786054,18.926480278348368]}"
43,48.76421377999998,0.09191648935049614,"{""type"":""Point"",""coordinates"":[74.32954770542392,18.088570730032036]}"
